ieee international conference on fuzzy systems,Thomas A. Runkler
system level interconnect prediction,Tsung-Wei Huang
system level interconnect prediction,Martin D. F. Wong
international conference on acoustics, speech, and signal processing,Benoit Fuentes
international conference on acoustics, speech, and signal processing,Roland Badeau
international conference on acoustics, speech, and signal processing,Gaël Richard
computer supported cooperative work in design,Nianfeng Shi
computer supported cooperative work in design,Weiqing Tang
computer supported cooperative work in design,Yong Yu
computer supported cooperative work in design,Zhengduo Pang
computer supported cooperative work in design,Tao He
Concurrency and Computation: Practice and Experience,Dionysios D. Kehagias
Concurrency and Computation: Practice and Experience,Konstantinos M. Giannoutakis
Concurrency and Computation: Practice and Experience,George A. Gravvanis
Concurrency and Computation: Practice and Experience,Dimitrios Tzovaras
ad hoc networks,Ian F. Akyildiz
ad hoc networks,Won-Yeol Lee
ad hoc networks,Kaushik R. Chowdhury
Journal of Computer and System Sciences,Jonathan Gemmell
Journal of Computer and System Sciences,Thomas Schimoler
Journal of Computer and System Sciences,Bamshad Mobasher
Journal of Computer and System Sciences,Robin D. Burke
international conference on social computing,Brian Wheatman
international conference on social computing,Alejandro Noriega
international conference on social computing,Alex Pentland
Lecture Notes in Computer Science,Zi-Tsan Chou
Lecture Notes in Computer Science,Ching-Chi Hsu
Lecture Notes in Computer Science,Ferng-Ching Lin
international symposium on visual computing,Sotirios P. Chatzis
international symposium on visual computing,Dimitrios I. Kosmopoulos
international symposium on visual computing,George Papadourakis
international conference on computer communications,Ao Tang
international conference on computer communications,Lachlan L. H. Andrew
international conference on computer communications,Krister Jacobsson
international conference on computer communications,Karl Henrik Johansson
international conference on computer communications,Steven H. Low
international conference on computer communications,Håkan Hjalmarsson
Communications of The ACM,Dorine C. Andrews
wireless communications and networking conference,Woo Jin Shin
wireless communications and networking conference,Jeong Geun Kim
systems, man and cybernetics,Gang Zhao
systems, man and cybernetics,Ruoying Sun
virtual reality continuum and its applications in industry,Albert H. T. Lam
virtual reality continuum and its applications in industry,Kevin C. H. Chow
virtual reality continuum and its applications in industry,Edward Hon-hei Yau
virtual reality continuum and its applications in industry,Michael R. Lyu
Computers & Geosciences,Timothy L. Whiteaker
Computers & Geosciences,Norm Jones
Computers & Geosciences,Gil Strassberg
Computers & Geosciences,Alan M. Lemon
Computers & Geosciences,Doug Gallup
federated conference on computer science and information systems,Sara Rampazzi
federated conference on computer science and information systems,Francesco Leporati
federated conference on computer science and information systems,Giovanni Danese
federated conference on computer science and information systems,Nelson Nazzicari
federated conference on computer science and information systems,Lucia Fornasari
federated conference on computer science and information systems,F. Marabelli
federated conference on computer science and information systems,Andrea Valsesia
Ingénierie Des Systèmes D'information,Dieter Holz
Ingénierie Des Systèmes D'information,Marc Domenig
International Journal of Algebra and Computation,George F. McNulty
International Journal of Algebra and Computation,Zoltán Székely
International Journal of Algebra and Computation,Ross Willard
Operations Research,Aharon Ben-Tal
Operations Research,Dimitris Bertsimas
Operations Research,David B. Brown
IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences,Xiaojin Zhu
IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences,Jingping Bi
IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences,Jianhang Liu
international geoscience and remote sensing symposium,David P. Kratz
international geoscience and remote sensing symposium,Paul W. Stackhouse
international geoscience and remote sensing symposium,Anne C. Wilber
international geoscience and remote sensing symposium,Parnchai Sawaengphokhai
international geoscience and remote sensing symposium,Shashi K. Gupta
mobile data management,Georgios Chatzimilioudis
mobile data management,Demetrios Zeinalipour-Yazti
working conference on reverse engineering,Yu Kashima
working conference on reverse engineering,Yasuhiro Hayase
working conference on reverse engineering,Norihiro Yoshida
working conference on reverse engineering,Yuki Manabe
working conference on reverse engineering,Katsuro Inoue
pacific rim international conference on multi agents,Ivan Marsa-Maestre
pacific rim international conference on multi agents,Miguel A. Lopez-Carmona
pacific rim international conference on multi agents,Juan R. Velasco
fuzzy systems and knowledge discovery,Binwen Fan
fuzzy systems and knowledge discovery,Qi Zhang
Information Processing and Management,Janez Kranjc
Information Processing and Management,Jasmina Smailović
Information Processing and Management,Vid Podpečan
Information Processing and Management,Miha Grčar
Information Processing and Management,Martin Žnidaršič
Information Processing and Management,Nada Lavrač
Performance Evaluation,Rod J. Fretwell
Performance Evaluation,Demetres D. Kouvatsos
arXiv: Probability,Oliver Knill
congress on evolutionary computation,Oliver Thomas
congress on evolutionary computation,Otmar Adam
congress on evolutionary computation,Katrina Leyking
congress on evolutionary computation,Peter Loos
visual analytics science and technology,Renata Georgia Raidou
visual analytics science and technology,Marta Paes Moreira
visual analytics science and technology,Wouter van Elmpt
visual analytics science and technology,Marcel Breeuwer
visual analytics science and technology,Anna Vilanova
bioinformatics and bioengineering,Qiang Xue
bioinformatics and bioengineering,James R. Cole
bioinformatics and bioengineering,Sakti Pramanik
arXiv: Artificial Intelligence,Carlos Gershenson
arXiv: Artificial Intelligence,Pedro Pablo Gonzalez
acm symposium on parallel algorithms and architectures,Panagiota Fatourou
Human Factors,David W. Eccles
Human Factors,Paul Ward
Human Factors,Tim Woodman
Human Factors,Christopher M. Janelle
Human Factors,Christine Le Scanff
Human Factors,Joyce Ehrlinger
Human Factors,Carole Castanier
Human Factors,Stephen A. Coombes
Queueing Systems,Oj Onno Boxma
Queueing Systems,J. W. Cohen
conference of the international speech communication association,Fikret S. Gürgen
conference of the international speech communication association,J. M. Song
conference of the international speech communication association,Robin W. King
Discrete Applied Mathematics,Andreas Parra
Computer Vision and Image Understanding,Sebastian Gerke
Computer Vision and Image Understanding,Antje Linnemann
Computer Vision and Image Understanding,Karsten Muller
Lecture Notes in Computer Science,Peter Micheuz
Online Information Review,Her-Sen Doong
Online Information Review,Hui-Chih Wang
multimedia signal processing,Galina Sabeva
multimedia signal processing,Salma Ben Jamaa
multimedia signal processing,Michel Kieffer
multimedia signal processing,Pierre Duhamel
international symposium on experimental robotics,Jonathan Kelly
international symposium on experimental robotics,Gaurav S. Sukhatme
Iet Communications,Pierre Viland
Iet Communications,Gheorghe Zaharia
Iet Communications,Jean-François Hélard
Experimental Mathematics,Gilbert Muraz
Experimental Mathematics,Jean-Louis Verger-Gaugry
Theoretical Computer Science,Cristina G. Fernandes
Theoretical Computer Science,Rafael C. S. Schouery
international symposium on circuits and systems,Sheng-Chieh Huang
international symposium on circuits and systems,Liang-Gee Chen
international symposium on circuits and systems,Hao-Chieh Chang
designing interactive systems,Juan David Hincapié-Ramos
designing interactive systems,Sophie Roscher
designing interactive systems,Wolfgang Büschel
designing interactive systems,Ulrike Kister
designing interactive systems,Raimund Dachselt
designing interactive systems,Pourang Irani
conference on object-oriented programming systems, languages, and applications,Emerson R. Murphy-Hill
conference on object-oriented programming systems, languages, and applications,Andrew P. Black
Computers & Chemical Engineering,Khalid Al-Qahtani
Computers & Chemical Engineering,Ali Elkamel
international conference on image processing,Haihua Feng
international conference on image processing,David A. Castanon
international conference on image processing,William Clement Karl
international conference on image processing,Eric L. Miller
IEEE Transactions on Very Large Scale Integration Systems,Ka Nang Leung
IEEE Transactions on Very Large Scale Integration Systems,Yuan Yen Mai
IEEE Transactions on Very Large Scale Integration Systems,Philip K. T. Mok
Procedia Computer Science,Vania Ribas Ulbricht
Procedia Computer Science,Tarcisio Vanzin
Procedia Computer Science,Marilia Abrahão Amaral
Procedia Computer Science,Vilma Vilarouco
Procedia Computer Science,Silvia Quevedo
Procedia Computer Science,Luís Augusto Machado Moretto
Procedia Computer Science,Angela Benatto Flores
wireless and optical communications conference,Qiang Wang
wireless and optical communications conference,Li Huo
wireless and optical communications conference,Yanfei Xing
wireless and optical communications conference,Dong Wang
wireless and optical communications conference,Caiyun Lou
wireless and optical communications conference,Bingkun Zhou
Applied Mathematics Letters,Ming-Chih Lai
Applied Mathematics Letters,Yunchang Seol
international symposium on circuits and systems,Dayane Alfenas Reis
international symposium on circuits and systems,Caio Araujo T. Campos
international symposium on circuits and systems,Thiago Rodrigues B. S. Soares
international symposium on circuits and systems,Omar Paranaiba Vilela Neto
international symposium on circuits and systems,Frank Sill Torres
IEEE Systems Journal,Cory R. A. Hallam
IEEE Systems Journal,Carolina Contreras
IEEE Transactions on Vehicular Technology,Yu-Liang Kuo
IEEE Transactions on Vehicular Technology,Kun-Wei Lai
IEEE Transactions on Vehicular Technology,Frank Yeong-Sung Lin
IEEE Transactions on Vehicular Technology,Yean-Fu Wen
IEEE Transactions on Vehicular Technology,Eric Hsiao-Kuang Wu
IEEE Transactions on Vehicular Technology,Gen-Huey Chen
computational sciences and optimization,Qi Li
computational sciences and optimization,Dong Yang
computational sciences and optimization,Xi Chen
local computer networks,Tiantong You
local computer networks,Chi-Hsiang Yen
local computer networks,H. Hassanein
industrial engineering and engineering management,Daniel Kammerl
industrial engineering and engineering management,M. Enseleit
industrial engineering and engineering management,Robert Orawski
industrial engineering and engineering management,Danilo Marcello Schmidt
industrial engineering and engineering management,M. Morti
asia pacific conference on circuits and systems,Hanan M. Hassan
asia pacific conference on circuits and systems,Ahmed F. Shalash
asia pacific conference on circuits and systems,Hisham M. Hamed
international acm sigir conference on research and development in information retrieval,Robert Groman
Communications of The ACM,Moshe Y. Vardi
international conference on acoustics, speech, and signal processing,William L. Martens
international conference on acoustics, speech, and signal processing,Wieslaw Woszczyk
parallel computing,Louis Ibarra
parallel computing,Dana Richards
Journal of Symbolic Logic,Simone Martini
Journal of Symbolic Logic,Andrea Masini
mexican conference on pattern recognition,Michal Kawulok
national conference on artificial intelligence,Boris Konev
national conference on artificial intelligence,Ana Ozaki
national conference on artificial intelligence,Frank Wolter
IEICE Transactions on Information and Systems,Wa Si
IEICE Transactions on Information and Systems,Xun Pan
IEICE Transactions on Information and Systems,Harutoshi Ogai
IEICE Transactions on Information and Systems,Katsumi Hirai
IEEE Transactions on Information Theory,Erik Agrell
conference of the international speech communication association,Takaaki Hori
conference of the international speech communication association,Yoshiaki Noda
conference of the international speech communication association,Shoichi Matsunaga
NeuroImage,Jeffrey M. Miller
NeuroImage,Matthew S. Milak
NeuroImage,R. Todd Ogden
NeuroImage,Dileep Kumar
NeuroImage,Ramin V. Parsey
NeuroImage,J. John Mann
IEEE Transactions on Circuits and Systems I-regular Papers,Norio Chujo
IEEE Transactions on Circuits and Systems I-regular Papers,Toshiaki Takai
IEEE Transactions on Circuits and Systems I-regular Papers,Toshiki Sugawara
IEEE Transactions on Circuits and Systems I-regular Papers,Yasunobu Matsuoka
IEEE Transactions on Circuits and Systems I-regular Papers,Daichi Kawamura
IEEE Transactions on Circuits and Systems I-regular Papers,Koichiro Adachi
IEEE Transactions on Circuits and Systems I-regular Papers,Tsuneo Kawamata
IEEE Transactions on Circuits and Systems I-regular Papers,Toshinobu Ohno
IEEE Transactions on Circuits and Systems I-regular Papers,Kenichi Ohhata
international conference on cloud computing,Antonio Marotta
international conference on cloud computing,Stefano Avallone
PLOS Computational Biology,Marc Breit
PLOS Computational Biology,Michael Netzer
PLOS Computational Biology,Klaus M. Weinberger
PLOS Computational Biology,Christian Baumgartner
international symposium on algorithms and computation,Yen-Wei Wu
international symposium on algorithms and computation,Wei-Yin Lin
international symposium on algorithms and computation,Hung-Lung Wang
international symposium on algorithms and computation,Kun-Mao Chao
International Journal of High Performance Computing Applications,Agapi Somwaru
International Journal of High Performance Computing Applications,Kenneth Hanson
IEEE Transactions on Computers,William H. Kautz
IEEE Transactions on Industrial Electronics,Makoto Iwasaki
IEEE Transactions on Industrial Electronics,Nobuyuki Matusi
international conference on computer graphics and interactive techniques,Mentar Mahmudi
international conference on computer graphics and interactive techniques,Marcelo Kallmann
Knowledge Based Systems,Michael L. McHale
Knowledge Based Systems,Sung H. Myaeng
ieee virtual reality conference,Agata Marta Soccini
international world wide web conferences,Lorenzo Blanco
international world wide web conferences,Mirko Bronzi
international world wide web conferences,Valter Crescenzi
international world wide web conferences,Paolo Merialdo
international world wide web conferences,Paolo Papotti
international conference on conceptual modeling,Sheng Li
international conference on conceptual modeling,Junhu Wang
international conference on conceptual modeling,Kewen Wang
international conference on conceptual modeling,Jiang Li
canadian conference on computational geometry,Chuzo Iwamoto
canadian conference on computational geometry,Godfried T. Toussaint
Journal of Sensors,Yusuke Fuchiwaki
Journal of Sensors,Mikito Yasuzawa
Journal of Sensors,N. Futagami
Journal of Sensors,Kotaro Rikitake
International Transactions in Operational Research,Douglas S. Gonçalves
International Transactions in Operational Research,Antonio Mucherino
human-robot interaction,Eduardo Benítez Sandoval
human-robot interaction,Mauricio Reyes Castillo
human-robot interaction,John Alexander Rey Galindo
International Journal of Bifurcation and Chaos,Chaoxiong Du
International Journal of Bifurcation and Chaos,Yirong Liu
International Journal of Bifurcation and Chaos,Qi Zhang
Neurocomputing,Kevin Ho
Neurocomputing,Chi-Sing Leung
Neurocomputing,John Sum
australasian computer-human interaction conference,Hirohito Shibata
australasian computer-human interaction conference,Kentaro Takano
australasian computer-human interaction conference,Kengo Omura
australasian computer-human interaction conference,Shun'ichi Tano
Algorithmica,Svante Janson
international conference on image processing,Jean-François Giovannelli
Nucleic Acids Research,C.M. Tolstoshev
Nucleic Acids Research,Robert W. Blakesley
International Journal of Embedded and Real-time Communication Systems,Gerd Ascheid
International Journal of Embedded and Real-time Communication Systems,Rainer Leupers
International Journal of Embedded and Real-time Communication Systems,Diandian Zhang
International Journal of Embedded and Real-time Communication Systems,Han Zhang
International Journal of Embedded and Real-time Communication Systems,Jeronimo Castrillon
International Journal of Embedded and Real-time Communication Systems,Torsten Kempf
International Journal of Embedded and Real-time Communication Systems,Bart Vanthournout
Numerical Algorithms,Cheng Hsuan Cho
Pattern Recognition,Wai-Pak Choi
Pattern Recognition,Kin-Man Lam
Pattern Recognition,Wan-Chi Siu
Linear Algebra and its Applications,Luke Oeding
wireless communications and networking conference,Robert Schober
wireless communications and networking conference,Harry Z. B. Chen
wireless communications and networking conference,Wolfgang H. Gerstacker
Distributed Systems Engineering,Richard Hayton
Distributed Systems Engineering,Michael Bursell
Distributed Systems Engineering,Douglas I. Donaldson
Distributed Systems Engineering,Wendy Harwood
Distributed Systems Engineering,Andrew Herbert
international conference on communications,Chien-Chun Cheng
international conference on communications,Yen-Chih Chen
international conference on communications,Yu T. Su
international conference on pattern recognition,Young Min Shin
international conference on pattern recognition,Minsu Cho
international conference on pattern recognition,Kyoung Mu Lee
reconfigurable computing and fpgas,M.Nazrin Md. Isa
reconfigurable computing and fpgas,Khaled Benkrid
reconfigurable computing and fpgas,Thomas Clayton
Discrete Applied Mathematics,Pierre Hansen
Discrete Applied Mathematics,Martine Labbé
Discrete Applied Mathematics,B. Nicolas
arXiv: Computer Vision and Pattern Recognition,Hieu Le
arXiv: Computer Vision and Pattern Recognition,Chen-Ping Yu
arXiv: Computer Vision and Pattern Recognition,Gregory J. Zelinsky
